web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574001849-1182","https://www.amazon.com/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","P. W. Duncan","A Satisfied Cstomer","September 14, 2018","I am very satisfied with my purchase.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Tangle/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&pageNumber=63&reviewerType=all_reviews&sortBy=helpful"
"1574001821-1054","https://www.amazon.com/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","S. Johnson","Great Quality & Price ~ Excellent Product!","October 30, 2019","Great earbuds with excellent sound including deep bass. Nicely packaged & nice price. Would recommend Betron to anyone. -S.Johnson","5.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Tangle/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_paging_btm_50?ie=UTF8&pageNumber=50&reviewerType=all_reviews&sortBy=helpful"
"1574001716-580","https://www.amazon.com/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Old School Rocker","Nice set of buds....","May 4, 2019","Received early. Quality packaging. No real (active) noise cancellation going on and none expected at this price point. No volume control/mic/track change, etc. (which is just what I wanted: no doo dads, no unnecessary queries with Siri, etc.>>>just a quality music listening device when you find yourself away from regular speakers). Size selection for ear pieces (s/m/l+ set of foams). Clip included (nice touch). And yes, the cords are thought out>nice and flat making them easier to keep straight and not tangle. Even a small drawstring carry pouch.  For the $, this is a nice set of basic buds..quality is everywhere and tolerances are tight..when you put the 3.5mm end onto your Apple dongle, you push firmly and then there is a noticeable click-no slop or sliding around, etc.
A mention on the ear buds and sizing: proper fit is critical for good sound-especially bass. Play around with not only how you put position the bud in your ear, but also the size of the ear piece fitted to the bud itself>if you don't have a good fit the bass will definitely be lacking..  Fitting the ear piece on/off the bud can be a tad challenging (those dang tight tolerances again), but worth the time to get it right-don't rush it. Recommended.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Tangle/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews&sortBy=helpful"
"1574001760-777","https://www.amazon.com/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Fcruguer","Excelente","January 27, 2019","Muy buenos auriculares.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Tangle/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews&sortBy=helpful"
"1574001749-730","https://www.amazon.com/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","McKinley Floyd II","Very good noise cancellation.","September 13, 2019","I use this item when I’m cutting the grass. I can adjust the volume louder than the one that came with the smart phone I have. I would buy them again.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Tangle/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews&sortBy=helpful"
"1574001720-591","https://www.amazon.com/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Fishguy","great quality","October 21, 2019","just received these the other day and using them while working and they are fantastic, little heavy compared to my old sony earbuds but far superior quality of construction and and volume/sound output. Just listening to music off youtube i have to turn the youtube sound down about 75% which is amazing and great! My old sony earbuds had accidentally gone through the wash way back and were never great since, but amazingly still worked, so this is a great upgrade.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Tangle/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews&sortBy=helpful"
"1574001812-1012","https://www.amazon.com/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Zay","LOVE THEM","June 25, 2019","LOVE LOVE LOVE the head phones for the money I paid they are durable and LOUD! Love them","5.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Tangle/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_paging_btm_46?ie=UTF8&pageNumber=46&reviewerType=all_reviews&sortBy=helpful"
"1574001769-814","https://www.amazon.com/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","AMJ","Love These","December 8, 2018","Never owned earphones that sound like these;  I can't believe the sound quality, given the price!  Immediately bought an extra pair.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Tangle/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews&sortBy=helpful"
"1574001724-619","https://www.amazon.com/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","bobby","Decent","December 30, 2018","Cheap but decent,  I'm picky but cheap so these are perfect.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Tangle/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews&sortBy=helpful"
"1574001806-988","https://www.amazon.com/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","General Alex","Easy Tangle wires but good sound quality!","August 5, 2018","Good quality sound. The wires tangle way too easy and become a nuisance when jogging. So far, the earbuds are durable for exercise use.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Earphones-Isolating-Tangle/product-reviews/B00LB01FNO/ref=cm_cr_arp_d_paging_btm_43?ie=UTF8&pageNumber=43&reviewerType=all_reviews&sortBy=helpful"
