web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574170927-1748","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Review","Good heaphones","September 23, 2019","I bought these a few days ago and they work really well! They're comfortable to wear and although it's only been a few days I haven't gotten tired of wearing them yet. The sound is pretty good (I don't know much about headphones though, tbh) and I would definitely buy them again if I had too. I like the color of them and how the cord doesn't tangle either. Easy to store as well. Overall, pretty good!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews&sortBy=helpful"
"1574170976-1983","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Katarzyna Rostkowski","Great Quality Headphones","September 18, 2019","great product!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&pageNumber=36&reviewerType=all_reviews&sortBy=helpful"
"1574170957-1892","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Amazon Customer","Defective product","October 11, 2019","One side stopped working and the other side shocked my son's ear. Garbage. you get what you pay for. This happened immediately after their very short return window, but at least I'm only out $6.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&pageNumber=27&reviewerType=all_reviews&sortBy=helpful"
"1574170914-1687","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Rachel","Awesome sound and comfort - good customer service too","September 27, 2019","I ordered this product twice. The first one was defective bec the left earbud is not working but they replace them immediately and received the product after a day, i was impressed its that quick. I tried it and it surprised me, the sound is awesome and it feels like it has a noise reduction too. Its comfortable to use for long period of time. I will use this for travel, gym and work. Amazing product for its price. Will recomment this.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews&sortBy=helpful"
"1574170916-1695","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Float Therapy Spa","Good sound","October 25, 2019","Good sound but not the most comfortable in the ears. Also it's almost impossible to  change the buds! Lost one when it popped out of my fingers so I took one off of my old ones that had a missing bud.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews&sortBy=helpful"
"1574170981-2002","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","memo","buen artículo por su valor","November 3, 2019","comodos en los oidos, sonido nitido, tienen algo de bass","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_38?ie=UTF8&pageNumber=38&reviewerType=all_reviews&sortBy=helpful"
"1574170963-1918","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","iris Rodriguez",":)","October 3, 2019","Very Happy with these handphone. Sound better then I expected for the price. Very happy will buy again","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&pageNumber=30&reviewerType=all_reviews&sortBy=helpful"
"1574170983-2008","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Jeremy Otto","Excellent sound!!","October 24, 2019","Some of the best ear buds I've ever used!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_39?ie=UTF8&pageNumber=39&reviewerType=all_reviews&sortBy=helpful"
"1574170957-1889","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Sanya","good purchase!","November 7, 2019","i love these earbuds! theyre really comfy and good for when i work out since they dont fall out of my ear. i have an iphone 7 and they work fine with the charger port adapter! would recommend","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&pageNumber=27&reviewerType=all_reviews&sortBy=helpful"
"1574170968-1940","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Rolando R.","Great product!","October 20, 2019","Bought a pair for my son for school use. Tried it on, ended up buying one more for myself. Very good quality for the price. Great product!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_32?ie=UTF8&pageNumber=32&reviewerType=all_reviews&sortBy=helpful"
"1574170985-2024","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","M. Chang","Best ever!","November 7, 2019","I have been using earbuds for years and this pair is so far the best. The angle of the earbuds is just right which fitted in my ears very well and comfortable. The sound is crispy clear. You won’t get the buzz sound even at the highest column. The best of all is that it won’t get tangled! My best earbuds ever! Eureka!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_40?ie=UTF8&pageNumber=40&reviewerType=all_reviews&sortBy=helpful"
"1574170903-1639","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","North Purpose","Excellent Earbuds for Money","October 25, 2019","So I finally decided to write a review after purchasing my 3rd pair of these.  Is there anything wrong with them?  No, I am just prone to losing earbuds or misplacing them so I've bought several pairs over the last few months.  These are definitely the best bang for the buck for earbuds.  I've bought ""bargain headphones"" from name brands at the drug store and they sound lifeless.  These earbuds produce a nice full sound, not too much bass and an even spectrum across all frequencies which is good for music and podcasts.  It's a great all around earbud.  The flat cable is also nice to prevent tangles as I store them in my pocket and they never knot up.  I wouldn't expect audiophile quality but you definitely get what you pay for and then some.  My only suggestion would be to make the L and R on the earbuds more visible b/c at first I had them reversed and I could barely make them out.  Overall, I'm very pleased and will probably be purchasing again once I leave another pair on the train.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews&sortBy=helpful"
"1574170972-1964","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","K. S. Miller","buy these","September 8, 2019","Great sound for the price!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_34?ie=UTF8&pageNumber=34&reviewerType=all_reviews&sortBy=helpful"
"1574170981-1995","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","AC.","delivery was fast","September 30, 2019","sound was good, cons; no mic. was used for listening music.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_38?ie=UTF8&pageNumber=38&reviewerType=all_reviews&sortBy=helpful"
"1574170976-1981","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","RACHEL","GREAT!","November 11, 2019","Work and fit great! Love them.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&pageNumber=36&reviewerType=all_reviews&sortBy=helpful"
"1574170963-1920","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Rushabh Mehta","Good earphones","October 28, 2019","Good earphones for the price.
And they do have the flat wire.

Comparable earphone in quality are double the price.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&pageNumber=30&reviewerType=all_reviews&sortBy=helpful"
"1574170955-1876","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Chaission","Nice earbuds","October 2, 2019","Just a nice simple earbuds really nice for working out don’t have to worry about Mike I really enjoyed it","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews&sortBy=helpful"
"1574170968-1944","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","larry","great deal","October 29, 2019","the overall sound is remarkably great and the low price is a mistake or a great bonus for me yea!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_32?ie=UTF8&pageNumber=32&reviewerType=all_reviews&sortBy=helpful"
"1574170907-1659","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Wally","Comfortable for long audio sessions","October 21, 2019","I work at a computer all day and like to listen up music and podcasts without bothering my co-workers. These earbuds are great. I've been able to leave them in all day without noticing they were there. There's a thigh plastic wedge wedge behind the bud that helps keep it in your ear while the rubber bud that sits in the ear is soft and comfortable. Sound quality is great for the price. The flat cord it harder to tangle as well. Hard to beat for this price range.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews&sortBy=helpful"
"1574170916-1702","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","IK","It is really nice","November 12, 2019","I actually like the product , for now I will give it 5 stars because for a week now it has been working perfectly . It is really loud which is why I like it , the only thing is the volume control keys missing . I hope they improve on that next time , the volume control keys would have made it really beautiful .

Another good thing is it being light weight and not tangling every time , overall it will do the work . I will review it months for now concerning the durability .","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews&sortBy=helpful"
"1574170933-1780","https://www.amazon.com/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","JkHay","price is great for this product","October 2, 2019","nice that you can change bud size and quality is great, price even greater","5.0 out of 5 stars","Next page→","https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/product-reviews/B07S82CYLR/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews&sortBy=helpful"
