web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574171484-3040","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Dave W.","Good sound","May 5, 2019","Good mid level sound. Affordable quality.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews&sortBy=helpful"
"1574171495-3089","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","alex","More than what you pay for!!!","November 3, 2018","Been using for a while during intense workouts and they hold up well. Sound nice and nobody else can here the Bops that im listening too lol. Worth it.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews&sortBy=helpful"
"1574171469-2972","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","You-Cheng L.","Items like described, but there is a background white noise","June 16, 2019","It's waterproof, with many sizes of eartips, and fits well with my ears. Nevertheless, there is a background white nose which ruins the sound quality, which is not acceptable with this price, not sure whether the one I got is defective, but either way means that the quality management should be improved, if there is no noise, it's a great product.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews&sortBy=helpful"
"1574171489-3061","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Richard","Disappointed and now beyond return window I assume","February 5, 2018","Broke within a month with light use. Either the jack or the wire is damaged and sound cuts in and out with any movement. Disappointed and now beyond return window I assume.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews&sortBy=helpful"
"1574171499-3112","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","AlbertD7","Has an excellent sound n bass","April 13, 2018","Has an excellent sound n bass! i liked so much, even I play it when running at morning, and the outside sound doesn't hear it, so I'm aware of using in a public place or park, to avoid accidents he. Thanks!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews&sortBy=helpful"
"1574171508-3150","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Willis Johnson","Five Stars","January 30, 2018","Great for working out and sounds terrific plus they stick to your ears","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews&sortBy=helpful"
"1574171522-3211","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Courtland J. Carpenter","Nice set of headphones, great sound and seem to extend the antenna pickup range on a cell phone radio, price is good too.","August 5, 2017","It's not the extra bass I liked or the ear hooks to keep them in place when I move about, but the copper wire inside made a better antenna than most of the cheaper earbuds I've used.  At work I listen to local radio and some of my favorite stations I have to move around my cell phone to receive without a lot of static.  These work better than any of the other sets I've used, so to deliver that bass, the wire must be a better quality to supply sound to the drive and likewise the antenna seems stronger.

They come with four different sizes of ear pieces so you can get a comfortable fit, and three sets of ear hooks to keep them in place.  There is alos a microphone to talk when a phone call comes through.  They cords are long so I don't have to keep my phone in my front pocket when using at work.  I tried the bass out too with a track from Iron Butterfly, and the drumwork really came through nice.  I'll have to add some more bass intensive songs to my MP3 collection. Remember these are not wireless, so you do need to plug it in, but that's good if you use the radio tuner on your phone because the wire is the antenna.  Recommended for cell phone users or just those with MP3 portable players.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_32?ie=UTF8&pageNumber=32&reviewerType=all_reviews&sortBy=helpful"
"1574171478-3010","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Aaron Cruz","Lasts a long time","October 4, 2019","Great quality. Used it almost daily for a year and 6 months, definitely the longest pair of earphones I’ve had last this long. The only slight inconvenience I’d say if any is the cable is pretty lengthy for me so it gets caught on a lot of things but other than that I’m probably gonna order another pair.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews&sortBy=helpful"
"1574171519-3203","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","H. Lee","Flawed design","August 24, 2017","The ear buds protrude out way way too much!  Design flaw for sure.  No wonder its so cheap!  But, sounds great","1.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_31?ie=UTF8&pageNumber=31&reviewerType=all_reviews&sortBy=helpful"
"1574171510-3163","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Julz","Better than Most","June 21, 2017","Meets my expectations and then adds some more. Sony have done a good  job with these. The sound quality is very good, clear, rounded. The bass is crisp without being muddy.

It may take a few tries to find the right fit with the ear tips and Arc supporters. This is probably the only let down with the product, it kinda takes a little longer than normal to get these into your ears. You may also get some cable noise, but that's because of the tight seal.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&pageNumber=27&reviewerType=all_reviews&sortBy=helpful"
"1574171484-3044","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Marcy Turek","Bulky..not very stylish","October 10, 2018","I have bought several headphones but these are not my favorite. They seem durable..I sweat a lot when I’m working out, but not that comfortable and too bulky.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews&sortBy=helpful"
"1574171530-3235","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","","","","","","null","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_34?ie=UTF8&pageNumber=34&reviewerType=all_reviews&sortBy=helpful"
"1574171480-3020","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","A BeeDaBah BahDaBeeBaDoo","Short life span","July 13, 2018","Sound started out great, but it’s a month in and they’re already fuzzy and popping","2.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews&sortBy=helpful"
"1574171497-3103","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Amazon Customer","Five Stars","March 31, 2018","Great for workouts...stays in sweating ears.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews&sortBy=helpful"
"1574171459-2925","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Amazon Customer III","Great Earbuds","February 16, 2019","First I'm not an audiophile so this is written for the average person.  These are the best earbuds I've ever owned.  Other earbuds I've tried keep falling out of my right ear; my right ear canal being a little smaller than the left.  With the ear piece attached to these earbuds they are very secure.  Additionally, I think the sound is great for both music and watching a movie on my Amazon Fire Tablet.  Thus, I can highly recommend these for the average person.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews&sortBy=helpful"
"1574171522-3212","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","barry","Real good wired headphones","September 18, 2017","As far as wired headphones go, especially for exercising, these headphones are excellent.  They come with many pieces so you should find the ideal fit for your ears.  The design is also set to keep the headphones firmly in place.  This worked for me but I am well aware it may vary person to person based on the shape of their ears.  They were comfortable and secure for me but just may not do that for someone else.  I also found the sound to be very good.  Certainly not of the superior level but well above most headphones in this price range and the extra bass strongly advertised is no gimmick.  The bass is great.  The reasons I would not use these as my regular headphones all the time is due to the lack of volume control on them as well as due to the fact I now prefer to use bluetooth headphones.  After being spoiled with that needing a pocket or place to keep your phone due to these being wired becomes cumbersome.  But these do work great answering calls and going forward or back with songs.  And the fact they are indeed waterproof is a great plus.  So I am thrilled with these for exercise but they just don't suit my needs for every day, all day use.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_32?ie=UTF8&pageNumber=32&reviewerType=all_reviews&sortBy=helpful"
"1574171497-3104","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Mazen","Five Stars","April 15, 2018","amazing sound bass","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews&sortBy=helpful"
"1574171491-3071","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","LaurRedLaur","Clear awesome sound","June 19, 2018","Great sound quality!!! Would highly recommend! The button to pause and Switch tracks on mine worked for 5 min and doesn’t work anymore, but I’ll take it for the sound quality! Great set of headphones.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews&sortBy=helpful"
"1574171506-3139","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","F.M.","Satisfied.","November 13, 2019","Satisfied.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews&sortBy=helpful"
"1574171471-2979","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","NomDePlume","They work... but mediocre sound quality","September 16, 2019","Expected much better sound quality from Sony.  These sound a bit like earbuds I received for free in the plane to listen to movies....","2.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews&sortBy=helpful"
"1574171513-3169","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Praveen","Five Stars","May 3, 2018","Well designed for runners!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&pageNumber=28&reviewerType=all_reviews&sortBy=helpful"
"1574171474-2995","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","J. FLORES","Good quality","July 23, 2019","Earphones work great and have multiple ear buds for comfort.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews&sortBy=helpful"
"1574171508-3153","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Theodre","Four Stars","March 23, 2018","Good headphones with decent Bass. Worth the money.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews&sortBy=helpful"
"1574171497-3100","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","xiaofan xiong","Five Stars","September 17, 2017","very nice sound and comfortable for the price, also stick in your ear during work out.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews&sortBy=helpful"
"1574171487-3049","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Jesus Ortiz","Great pair of earbuds for weightlifting.","September 18, 2017","Good bass, cancels noise out nicely, lots of earbud piece sizes to find a good fit. Goes well with a water resistant device like the Galaxy S8","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews&sortBy=helpful"
"1574171517-3193","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Shay","Five Stars","September 20, 2017","Fantastic sound quality","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&pageNumber=30&reviewerType=all_reviews&sortBy=helpful"
"1574171478-3008","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Julian Paiz","Good quality so far.","August 11, 2018","Great sound and great noise cancelling. Ride my riding mower and barely hear the engine. Would buy another providing they last.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews&sortBy=helpful"
"1574171508-3156","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Michael W.","Sound cuts out whenever you move-- let alone do ""sports""!","December 12, 2017","These headphones are all right thus far-- just got them-- but the sound skips or cuts out whenever the power source (i.e., the phone) is moved even slightly. They will only work if they are kept perfectly still... which is ironic, since they're supposed to be for sports! I'm pretty dissatisfied, but given how hard it is to find decent headphones at this price point, I may just keep these ones, despite their issues. The sound quality and bass are both good... if only they allowed for more movement.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews&sortBy=helpful"
"1574171525-3218","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","C. Johnson","Great sound; not so great comfort.","August 25, 2017","This are the best sounding earbuds I have ever used.  The bass is surprisingly strong and the clarity of the music I listen to is great.  However they are not very comfortable to wear and only after a few minutes of listening to them, I have to take them out because they get irritating after a while.

I also tried using them for my HTC Vive but after moving around some, they just fall out my ear, and I spend more time readjusting them to make stay in my ear, and like on my phone, they are not comfortable.

I really only got these to replace a brand new set of ear buds that I stupidly threw away by accident, but I don't even use them that much.  I prefer my Over the ear sets from Samsung, Vmoda, and Beo play, and will only use these when my others aren't charged.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_33?ie=UTF8&pageNumber=33&reviewerType=all_reviews&sortBy=helpful"
"1574171493-3086","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","amarizzzyeee","actually stay in my ear","December 12, 2018","These fit in my ear and stay in.  The sound is high quality and noise cancelling is enough so that I can't hear people talking.  If worn for too long, they may make your ears feel sore from how they fit.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews&sortBy=helpful"
"1574171461-2935","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Sophie","Great headphones for the price","April 9, 2019","The sound is great (even more noise isolating than apple headohones) and the bass is more prominent than other wireless ones I've tried. They stay in my ears without falling out even while running and jumping around. The battery life is pretty good as well and will last me for a couple days of training sessions between charges. Definitely recommend for this price!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews&sortBy=helpful"
"1574171478-3015","https://www.amazon.com/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Hunter","Good quality","February 2, 2019","Purchased these because I thought they were Bluetooth haha. They ended up being a great replacement to my old bluetooth earbuds. Just got to watch out for the cord when exercising, but the included clip helps a lot. Overall great sounding and durable wired earbuds.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDRXB510AS-Headphones-Sweatproof-Comfortable/product-reviews/B01MTEU4V9/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews&sortBy=helpful"
