web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574953584-3834","https://www.amazon.com/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Andrew T. Bradley","Affordable earbuds that sound great!","November 18, 2019","$300 for Fruity Earpods!?  Are you kidding me!?  Those guys over at Fruity think they could sell anything and mark up the price 1000%.

But seriously, don't waste your money.  Buy these earbuds.  They sync up easily to whatever bluetooth device, and they sound great.  No ear pain after having them in for hours.  They don't fall out.  Easy to use, easy to charge.  They just work great!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Continuous-Waterproof-Headphones-Earphones/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews&sortBy=helpful"
"1574953625-4022","https://www.amazon.com/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Jelly Bean","Great Headsets","November 25, 2019","These are a great price and easy to connect to my iPhone through bluetooth. Sound is clear with excellent quality. The battery life is also great. It comes with a great case that charges them as well.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Continuous-Waterproof-Headphones-Earphones/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews&sortBy=helpful"
"1574953597-3900","https://www.amazon.com/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Alyssa Ortega","Best value headphones","November 8, 2019","Wow these are amazing!! They are so sleek and remind my of iPhones. The sound quality is amazing!! And the speaker is great for talking to people on the phone. I truly love these and so will you!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Continuous-Waterproof-Headphones-Earphones/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews&sortBy=helpful"
"1574953623-4012","https://www.amazon.com/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Victoria","So far, so good!","November 24, 2019","Great product for a great price. I wish they looked more like the AirPods but they’re basically the same deal. They arrived fast and on time, as well.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Continuous-Waterproof-Headphones-Earphones/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews&sortBy=helpful"
"1574953591-3862","https://www.amazon.com/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Monica Faillace","Good battery life, not the best mic","November 21, 2019","These are good as headphones and do what they're supposed to, and for the price I think it's pretty reasonable. The battery lasts a while and the sound quality is good, but unfortunately the microphone either isn't there or doesn't work. However, as headphones they're great","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Continuous-Waterproof-Headphones-Earphones/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews&sortBy=helpful"
"1574953610-3953","https://www.amazon.com/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Jared and Sharina Thibou","No difference in sound quality than AirPods","November 8, 2019","There is no difference in sound quality! They are just as good as AirPods!! But so much cheaper!!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Continuous-Waterproof-Headphones-Earphones/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews&sortBy=helpful"
"1574953595-3889","https://www.amazon.com/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Kyle Wong","Useable","November 19, 2019","Wireless headphones are now so easily accessible as so many brands out there. Reason why I went with buying a set even though I already have airpods is for my little brother. Works just fine, stops needless blasting of roblox sounds so keeps me happy","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Continuous-Waterproof-Headphones-Earphones/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews&sortBy=helpful"
"1574953636-4072","https://www.amazon.com/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Stefanie G.","Great charge life","November 21, 2019","I wanted something similar to the IPad AirPods without the price tag that comes with it. These have great sound quality, look and fit very similar to what I wanted. If you didn’t know you could barely tell the difference! They also last a long time on a single charge. My kids have now stolen them from me and I barely get to use them anymore. Much better price and quality is good!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Continuous-Waterproof-Headphones-Earphones/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&pageNumber=28&reviewerType=all_reviews&sortBy=helpful"
"1574953603-3922","https://www.amazon.com/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","lee heard","My new go to ear buds.","November 21, 2019","I'm a music lover and these are my new go to earbuds. Sound quality and fit are absolutely amazing! Very well manufactured. Buying more for stocking stuffers","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Continuous-Waterproof-Headphones-Earphones/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews&sortBy=helpful"
"1574953647-4123","https://www.amazon.com/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","MCITO","So cheap for so good","November 26, 2019","La verdad por el precio que pagas buena oferta. La caja de carga se raya muy rápido. Pero es un buen producto, hay un momento en que los olvidas que están puestos.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Continuous-Waterproof-Headphones-Earphones/product-reviews/B07XYMNH6P/ref=cm_cr_arp_d_paging_btm_33?ie=UTF8&pageNumber=33&reviewerType=all_reviews&sortBy=helpful"
