web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574953831-4332","https://www.amazon.com/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Yiming Ou","Cool looking wireless earbuds","September 27, 2019","These things does not really look like the Apple Airpods, but still looks pretty cool. Way better looking than a lot of wireless earbuds around. The sound quality is pretty good. Would not fall off your ears. I run with them and they stay in my ears perfectly. The battery life is long and charges fast.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Bluetoooth-Headphones-Sweatproof-Earphones/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews&sortBy=helpful"
"1574953805-4210","https://www.amazon.com/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","J. Branche","Quality bluetooth earbuds","November 17, 2019","Great Bluetooth earbud alternative to Airpods.  The sound is great, battery seems to last at least 1 1/2 hours but I have never run them out of battery yet.  They fit my ear good and the volume is great, even enough to hear over jet engine noise on flight.  Seems to be a good quality pair of earbuds and charging case.  I've purchased 2 pairs of the Competitors earbuds/NOT this brand and on one the charging port broke the other one earbud had half battery life and kept disconnecting.

Very happy I took a chance and bought these earbuds and enjoying using them all the time.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Bluetoooth-Headphones-Sweatproof-Earphones/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews&sortBy=helpful"
"1574953800-4188","https://www.amazon.com/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Amazon Customer","Does NOT work with IPHONE 11...yet","September 28, 2019","These earbuds arrived quickly and were just as promised. They connected easily to multiple phones in my household and sounded good. However, they did NOT work with the iPhone 11s, which is what the teen that wanted them had.
  I posted this question on Amazon, since apparently the only mention of the issue is found in microscopic print under one picture in the description (I had to screenshot and enlarge it to see this). To my surprise, within a few days, the seller responded directly with an explanation, so bonus points for the seller. When they are updated to work with the newest iPhone, I may buy again. For now, I've returned them (which was also super easy @ Kohl's).","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Bluetoooth-Headphones-Sweatproof-Earphones/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews&sortBy=helpful"
"1574953852-4417","https://www.amazon.com/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Makaio","Working great","September 28, 2019","These are great. Stay in my ears and connect effortlessly. Seems like a legit alternative to apples pricey product. They do seem to phase out a little here but not in a big way.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Bluetoooth-Headphones-Sweatproof-Earphones/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&pageNumber=30&reviewerType=all_reviews&sortBy=helpful"
"1574953823-4292","https://www.amazon.com/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","vinod singh","Headphones with incredible sound and advanced features.","September 30, 2019","I received this product today and the moment I opened the box, it took me few seconds to pair them to my phone. The sound quality was on par with expensive headphones out there in market. The built in push buttons is nice for one touch pairing and the low latency connection was very helpful in minimizing the audio lag while watching videos. Easily at 65% volume I have got 4 hours and 10 min and battery life is very good as promised. Definitely recommending to anyone out in market looking for a good quality and durable true wireless headphones for an affordable price.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Bluetoooth-Headphones-Sweatproof-Earphones/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews&sortBy=helpful"
"1574953820-4283","https://www.amazon.com/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Carlos Daniel González Alvarado","These earphones perform great from time to time.","November 4, 2019","These earphones perform great from time to time.

Sometimes, the audio cuts constantly,  or stays in only one of the earphones.
It's pretty disappointing because these are not cheap. From time to time they work fantastically without any cuts or one-sided hearing. But the issues seem to be unfixable.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Bluetoooth-Headphones-Sweatproof-Earphones/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews&sortBy=helpful"
"1574953807-4219","https://www.amazon.com/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Nate","Great sound quality!","November 24, 2019","W O W.  Have never heard such good quality out of 40 dollar headphones!  These are almost as good as my Grados!  Purchased these for work, was a little hesitant due to the fact that my ears are smaller than normal and I’m frequently getting up and down.  While they are a little larger than the average headphone they fit just fine.  Cannot recommend them enough!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Bluetoooth-Headphones-Sweatproof-Earphones/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews&sortBy=helpful"
"1574953818-4274","https://www.amazon.com/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Michael Onwuegbuzie","Surprisingly sounds good","August 14, 2019","Pairing with my phone was easy, the sound quality was amazingly great, was skeptical before the purchase, but was surprised at how good they sounded. The case came in already charged but I still went ahead and charged it until the lights went off. Overall am happy with this earbuds, I will keep my fingers crossed and see how well they perform over time.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Bluetoooth-Headphones-Sweatproof-Earphones/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews&sortBy=helpful"
"1574953787-4125","https://www.amazon.com/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Edward V","Quality comparable to AirPods - Good set of earbuds for a good price","September 11, 2019","I’ve been using these for a couple hours now, and my initial impressions of these wireless earbuds are of pleasant surprise and content. I wasn’t expecting an AirPod experience with these, but that’s what I got. And I mean that as a compliment: I LOVE my AirPods and I wouldn’t replace them for anything in the world. But, it is nice to have a spare set of wireless earbuds to keep in your day bag or gym bag, and I can definitely say these earbuds can fill that role.

Sound quality is actually pretty good compared with the AirPods, but there is a slight difference(more on this further down) like there isn’t as much bass compared to the AirPods; This could be either a positive or negative depending on who you’re asking. But, for the most part, if you were to blind-test me just in music quality alone, I wouldn’t be able to tell the difference unless I was really paying attention.

Next thing I want to talk about is how these fit in my ears. They are noticeable larger and fit more snugly in my ear compared to the slimmer AirPods. And this is probably why I wasn’t get as much of a bass response compared to the AirPods because these earbuds seemed to not make as good a seal as the AirPods did for my ears. But that of course just comes down to my personal ear shape; Any earbud that doesn’t have adjustable  silicon tips is always something you gotta “buy it to try it” sort of deal. But on that note, if you feel that the AirPods were a bit on the small side for your ears, then these earbuds might be able to fit you better.

Button ergonomics and UX are good. The buttons are tactile and have a satisfying click to them. Single click to pause/play, long click on the left earbud to backtrack, long click on the right earbud to skip forward. It’s very intuitive and drama-free.

Pictures are attached comparing the AirPods(left) and these earbuds(right). You can really see the size differences. From a normal viewing distance, it would be really easy to ‘fool’ anyone into thinking you’re wearing actual AirPods.

If there is anything more to note through more long term usage, I’ll update my review here.","5.0 out of 5 stars","",""
"1574953800-4185","https://www.amazon.com/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Dan Kim","Good quality wireless headset","October 25, 2019","It’s really difficult to not compare this with AirPods. As a stand-alone unit these headsets are decent.  The sound quality is surprisingly very good.  Much better than my TWSi500 AirPod clones.  The connectivity and range is also great.  Battery life also seems good.

My biggest qualms is that it falls short on everything else compared to AirPods.

-no wireless charging case
-more round-about way if syncing then connecting
-no battery life indicator

Also an inconvenience that it uses Micro USB instead of lightning or usb C.

If you’re simply looking for something that works this is great solution.  If you’re like me and trying to go from AirPods to this it’s tough.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Bluetoooth-Headphones-Sweatproof-Earphones/product-reviews/B07S93YL9K/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews&sortBy=helpful"
