web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574952064-1396","https://www.amazon.com/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Brad Waite","Good quality for the price.","November 1, 2019","By no means am I an expert with headphones. I bought these because I wanted something better than the super-cheap Walmart ones I had been using.  These have a very good bass, the sound is good, and the padding eliminates most of the room noise. The cord is plenty long and seems to be made of high quality silicone rubber. The plug end is metal, and has a metal spring to help prevent damage. Overall the quality seems rather good. I don't think you can go wrong for the money spent.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews&sortBy=helpful"
"1574952096-1548","https://www.amazon.com/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Omi & Tela","Great Quality and easy to store.","September 26, 2019","I was looking for headphones to send in my sons book-bag daily for him to use in the computer lab.  I was able to store easily in his back bag and he can listen to his lesson with everything else going on.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews&sortBy=helpful"
"1574952070-1423","https://www.amazon.com/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Vamsi Danturti","AMAZING SOUND!","November 2, 2019","I am a seventh grader that uses this product. My brother is a fourth grader who also uses the headphones. This is an amazing product that produces good tone quality and is decently good at noise cancellation. It is so good to use while doing my online homework. I can block out all the sounds while playing video games on my computer. Before, in class, when my friends all had to watch an educational video, I had no headphones to do the job. I had to do it at home. But when I got this, I could do it with ease! My brother thinks the same with high praises. It also looks good on our heads. I have just one thing to say, though. It is too powerful. When I keep it at maybe a volume 10 out of 100, everyone not wearing headphones can hear it clearly. Thank you for reading!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews&sortBy=helpful"
"1574952044-1310","https://www.amazon.com/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Living the Dream","... for someone else and they were so cushioned and nice sounding that we ordered two more pair","March 14, 2018","We ordered one pair for someone else and they were so cushioned and nice sounding that we ordered two more pair! Love the volume adjust feature and the one sided cord too. Great price and great product!! Thank you!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews&sortBy=helpful"
"1574952064-1394","https://www.amazon.com/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Jessie","Headphones work great!","November 24, 2019","The sound quality of these is great for the price. I wanted an extremely budget friendly pair of headphones. They do not block noise surrounding you, but I didn't want that because I need to be able to hear what's going on around me and didn't want to be completely blocked when using them. Once you are playing music or a video, the  sound does help to block the noises around you if noise cancellation is something that you do want.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews&sortBy=helpful"
"1574952092-1526","https://www.amazon.com/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Wiiviewer","Good Headphones with one drawback.","October 5, 2019","These are good headphones.  Everything in them sound clear and it's easy to fold up.  The one downside I found is the AUX plug, it's too big for my phone and every time I want to plug it in, I have to take off my case.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&pageNumber=24&reviewerType=all_reviews&sortBy=helpful"
"1574952049-1328","https://www.amazon.com/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","C. Carrillo","I can finally listen to music for most of the day","September 25, 2019","I tried all the earbuds, all the types, styles, etc and I give up.  Either they're uncomfortable or they fall out (yes I've tried the different sizes of pads too).  Also, I don't want to fuss with bluetooth because I pair my phone with a speaker at home, but I want to listen privately at work, and switching back and forth is too much hassle.  Plus a wire doesn't bother me.
The are quite comfortable.  The only problem I have is they are just a little tight, which is surprising since I have a small-ish head.  They tend to hurt my ears after a while but that's mainly because I wear glasses.... So not entirely the headphone's fault.  Next time I get new glasses I'll opt for frames with thinner ear pieces, that should do the trick.

They have very good sound, especially for $15.  And the pads and headstrap are comfortable.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews&sortBy=helpful"
"1574952053-1345","https://www.amazon.com/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Regina Shiderly","Love these so much more than ear buds!","November 4, 2019","I love these, they do what I need them to do and they do it well. I use these to complete school work at night while the tv is playing as my husband watches television so they cancel out the noise very well.  My chromebook also has low sound and I can barely hear from the speakers, so these headphones amplify the sound so well I can hear with no problem even with background noise. I use these with a Dell chrome book and it is plug and play. No special installations needed. Great product for the price, absolutely recommended.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews&sortBy=helpful"
"1574952087-1502","https://www.amazon.com/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Elizabeth D","Amazing Headphones for a Great Price!","August 31, 2019","These are AMAZING headphones for such a cheap price. I use them when I am going to bed as my hubby snores. They almost completely block out the cacophony of his sleep sounds, which is really impressive. The sound quality is excellent and they are very comfortable.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews&sortBy=helpful"
"1574952085-1496","https://www.amazon.com/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Nyla P.","Great product for sound.","August 17, 2019","I wanted some lightweight headphones to wear in the house and noise-cancelling not necessary for this use.  These are great for that.  The connector is metal enclosed so I am sure it will withstand time and use.  The sound quality is quite nice.  The cushioned ear pads are comfortable.  And although they are lightweight, the part that goes over the head is a bit small for my head, and I was never able to actually “forget” they were there.  (I have a big head.).  For that reason, and that reason alone, I will return them.  However, overall, this is a nice product and I urge others to consider purchasing.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/product-reviews/B07MCCJ6VY/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews&sortBy=helpful"
