web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574171788-3751","https://www.amazon.com/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Pamela Lee Thompson","earbuds stopped working after a month","February 9, 2019","I was really disappointed with these earbuds. I bought these a few months ago they worked at first and now they don’t work at all. They sound quality became terrible and I would have to hold the middle button to hear anything. I also bought another type of their earbuds and they sent me the wrong model. I am very disappointed.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Definition-Smartphones-Microphone/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_paging_btm_52?ie=UTF8&pageNumber=52&reviewerType=all_reviews&sortBy=helpful"
"1574171779-3708","https://www.amazon.com/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Hilary n","WAY too heavy: they cause pain and fall out easily","June 17, 2018","The sound quality with these are great, but unfortunately the headphones are so heavy that they fall out petty easily and hurt your ears after only a few minutes of wearing them. Sad because they really do sound great.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Definition-Smartphones-Microphone/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_paging_btm_48?ie=UTF8&pageNumber=48&reviewerType=all_reviews&sortBy=helpful"
"1574171797-3791","https://www.amazon.com/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Gregory Barker","Durability is good","December 16, 2018","I have used the ear buds every day for the last few months during my aerobics workout.  The buds are comfortable and comes with different size rubber ear inserts.  The cable is sturdy and does not tangle or knot-up.  The sound quality is very good","5.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Definition-Smartphones-Microphone/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_paging_btm_56?ie=UTF8&pageNumber=56&reviewerType=all_reviews&sortBy=helpful"
"1574171770-3666","https://www.amazon.com/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Amazon Customer","Good Pair, Good Price","December 3, 2018","I bought these on a whim cause they were like $20, and these are way worth it. The music quality is on par with competitors like skullcandy and they are my go to headphones now. I will probably buy again if i am ever in need.

My only complaint is that the metal wiring on the side can stick out. It makes the edge a little rough and can possibly prick your finger.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Definition-Smartphones-Microphone/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_paging_btm_44?ie=UTF8&pageNumber=44&reviewerType=all_reviews&sortBy=helpful"
"1574171784-3728","https://www.amazon.com/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","newcamper","Amazing, Best Headphones Ever","May 27, 2019","Love these. They're not only aesthetically pleasing but the sound quality is awesome. Highly recommend! Best headphones I've ever had.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Definition-Smartphones-Microphone/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_paging_btm_50?ie=UTF8&pageNumber=50&reviewerType=all_reviews&sortBy=helpful"
"1574171731-3488","https://www.amazon.com/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Ugo Nwafor","Nice Sound but earbuds kept falling off.","January 27, 2019","The quality was decent. The sound was really good. But I had issues using it because the earbuds kept falling out of my ears. It was very annoying and I tried so hard to deal with it for a while but two months in, I gave up and bought a wireless pair of speakers. Also, it was marketed as tangible free... well, that's false advertising. While it's not the worst, it is definitely not tangle free.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Definition-Smartphones-Microphone/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews&sortBy=helpful"
"1574171766-3654","https://www.amazon.com/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","El Mi'kmaq Lobo","My new favorite","December 3, 2018","I love skullcandy but these may have overtaken them in the wired department for me, the sound is better than expected.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Definition-Smartphones-Microphone/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_paging_btm_42?ie=UTF8&pageNumber=42&reviewerType=all_reviews&sortBy=helpful"
"1574171753-3591","https://www.amazon.com/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","KFre","I've had these since the middle of September","December 4, 2018","The only reason I put 4 stars instead of 5 is because the material/metal part easily gets caught on my sweaters or pillow case. It had little pieces sticking out, I easily fixed this with small pliers but it would have been better if this wasn't a problem at all. The sound is surprisingly great for the price and I can tell that these will last me for some time. It's not at all flimsy like I thought it would be!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Definition-Smartphones-Microphone/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&pageNumber=36&reviewerType=all_reviews&sortBy=helpful"
"1574171749-3567","https://www.amazon.com/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Rob","Dead in less than 2 months. Replacement came defective. Uncomfortable.","November 21, 2018","This product is advertised as quality, but even with proper care they dont last 2 months. Past the return window as well.

Update, so I was able to get a replacement, but those came defective. Not very comfortable, and they came with foam tips that started falling apart and ripping apart inside of my ear after a single days use. Do NOT buy these headphones if you're looking for quality, comfort, or durability","1.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Definition-Smartphones-Microphone/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_paging_btm_34?ie=UTF8&pageNumber=34&reviewerType=all_reviews&sortBy=helpful"
"1574171716-3425","https://www.amazon.com/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Solbreeze","Clean Beautiful Sound!","July 1, 2019","These Headphones are fantastic! The sound is crisp, clear, bright with bass for such a small earbud headphone.
The only drawback is the volume controls are not compatible with iPod Classic but otherwise seem to work fine with current cell phones and tablets.  Great value for the price, highly recommend them!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Betron-Headphones-Definition-Smartphones-Microphone/product-reviews/B00XBZY0EI/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews&sortBy=helpful"
