web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574954116-4876","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Belle","20 Bucks Goes a Long Way","June 13, 2019","What's not to love about this? For just $20, you get a great quality headphones. I have spent $150+ on similar products and just feels like a sucker in retrospect.  I probably don't have to mention that brand but the LETSCOM Wireless Sports Headphones BEATS the more expensive ones. It is easy to connect to your mobile device. The controls are easy to remember. The sound quality is impeccable.  The fit takes a little trial and error but when you find the right earbuds, it becomes noise-cancelling to a certain point.  This product is a gem.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews&sortBy=helpful"
"1574954146-5005","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Amazon Customer","Perfect for working out!","October 30, 2019","I’ve been wanting to replace my lost pair of beats Bluetooth earphones for running and my workouts but unfortunately I just hadn’t been able to afford to replace them. I decided to give these a try since they were affordable and had good reviews and I’m soooooo glad I did!!! These are just as good as my old pair and if I forget them at the gym again I won’t beat myself up about it for months.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&pageNumber=29&reviewerType=all_reviews&sortBy=helpful"
"1574954118-4886","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","jarrian","Bought 2 ,one stopped charging after 2months","August 14, 2019","I ordered 2 of These june7,2019 for 2 seperate ppl
Well its been 2 months and my dads STOPPED charging, not only that- the cord that came with it burned out his perfectly good car charger. So im guessing the headphones got burned out too
Initially he told me he didnt like that IT COMES WITHOUT A WALL PUG JUST USB and him being 60 i said its cool dad just use any im sure the company is sure enough itll be fine since they didnt send one .. and he wasnt happy because i always press him about shitty wall plugs amd chargers .  Then poom sure enough they crap out on him .. he wasnt pleased and i hate when my dad gets upset over electronics--he has such bad luck it beyond me. Im going to make a claim with amazon or the company idk","3.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews&sortBy=helpful"
"1574954146-5011","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","MMK","Great wireless headphones","June 20, 2019","These are great quality for their value. Sound is great! I like that the fit over the ear and held by a cord. I kept losing one of my previous wireless earbuds. Now I don’t run into that problem. I wear glasses and it does not cause any issues. My favorite part is that they last a long time after charging them, other ones I previously had died way too fast. Overall very pleased and recommend these.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&pageNumber=29&reviewerType=all_reviews&sortBy=helpful"
"1574954092-4777","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","olivia","Fit to price","May 28, 2019","My friend’s birthday is tomorrow and I bought this for her. I opened it to try and will repack it later. I will say the quality fit to the price and it gives you three sizes of ear plugs, so you can pick either comfort to you. I can’t tell the comparison to other brand since this is the first Bluetooth that I had, but I will say it’s value for the price, and it looks great!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews&sortBy=helpful"
"1574954132-4950","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","yardman531","Okay for music, not for talking...","March 7, 2019","I bought these to replace my Beats headset that looks just like them.  However, the problem was the sound on phone calls had a high pitched static ""screech"" that sounded on all my calls.  Music was fine, albeit flat and somewhat hollow sounding and not the quality of my Beats.  But I bought these for commuting and talking with clients.  In their defense, I don't think the clients could not hear the screech sound on the calls.  Anyway, I couldn't stand that high pitched noise so I had to return.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews&sortBy=helpful"
"1574954092-4784","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Ryan","LETSCOM, name should be LETSCAM","May 18, 2019","**update, emailed me and told me they would refund my purchase to my amazon account... has never happened, going to escalate with amazon!  Don't buy this POS!  They pay for good reviews**

So I got their cheap POS heart rate monitor (DON'T BUY), then got an offer with it that they would send me a free product if i would write a positive review about both of them, or contact them before posting a negative review... fishy fishy...

So chose these bluetooth, WATERPROOF earbuds, whatever u want to call them.

The HR monitor was terrible, one second my hr was 45 bpm, 20 seconds later it was 172 bpm, totally unreliable, terrible to link, only step tracker worked, used for 5 days and it died... FAIL, hadn't even gotten these headphones yet.

Get the WATERPROOF earbuds a week or so later... used at the gym for 6 days before they broke, i sweat on the treadmill, one earbud started going crackly and then cut out, the other did the same thing shortly after... can only think it was the sweat that caused this as there was no damage or anything, had been working fine for 30 minutes prior and BAM - enjoy your next 30 minutes running w/o music playa!

Terrible company, fake reviews abound on there pages, look at how they sell the same exact product as all these other cheap chinese companies, just slap a different logo or name on it... when the bad reviews start comin in and amazon catches on, new name, new account, rip-off starts again!","1.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews&sortBy=helpful"
"1574954140-4975","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Alexis Mueller","Great product for price","August 25, 2019","Very well put together.Sound quality is clear and you can listen or talk without any interference. If you have noise in the background, it is faint not clear. I use them for when I weed eat, so I am able to listen to music and not hurt my ears by the loud sound of the weedeater (weed waker). I can also work out side and not worry about the sweat effecting the sound. I even was in the rain a little, it wasn't effected.  Very well put together. Price was good and the product its self was worth it. I go through earbuds a lot. This will be suggested again to friends.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews&sortBy=helpful"
"1574954130-4939","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Rora","Good pair for a good price!","March 5, 2019","Love these head phones! Decided a pair of bluetooth headphones would work better for me at the gym and walking around the house since I was tried of getting caught on things. I got these ones based on good reviews and they did not lie! It had a great battery life for me since I only use them for short periods of time, for example an hour at the gym 3 times a week and periodically while cleaning the house. The ear pieces fit well, no issues with them falling out. The controls on the right ear are very easy to use as well.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews&sortBy=helpful"
"1574954126-4917","https://www.amazon.com/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Sam T","Get the job done at a fraction of the price","November 24, 2019","Overall, good headphones for what you pay for. I'm a bit of an audiophile and came from the Powerbeats 2, the audio quality of the letscom headphones are not as good. I also think that the Powerbeats 2 have a better fit overall. These stay in the ear well, but the over-ear part is very flexible. I use these headphones for workouts, biking, walking, work, phone calls, and airplane travel. The issues that I point out here are not bad- I am satisfied with my purchase and would buy again.

Pros:
- Price, it's amazing how much these can do for the price.
- Popularity. I work across 4 gyms and see these things everywhere. Even our staff like them. Proof that they're doing something right!
- Battery life
- Button location
- Phone call clarity

Cons:
- Audio quality (compared to Powerbeats 2 which I bought for $100 years ago). Good enough for me though!
- Shape/ear fit

I see a lot of comments complaining about wind noise, especially for bikers. Basically, this is going to happen with any headphones. Nothing out of the ordinary here.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Bluetooth-Headphones-LETSCOM-Waterproof-Cancelling/product-reviews/B07JGR4MLY/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews&sortBy=helpful"
