web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574171376-2672","https://www.amazon.com/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","julie eubanks","Four Stars","September 22, 2017","Very good value and quality for the price range.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDR-XB50AP-Extra-Earbud-Headset/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&pageNumber=63&reviewerType=all_reviews&sortBy=helpful"
"1574171280-2241","https://www.amazon.com/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Law Office of Stephen L. Watsky","I love them! They have a great bass to them ...","December 15, 2017","Replacement for a lost pair, I love them!  They have a great bass to them and are actually affordable, as someone who hasn't had the best of luck with headphones in the past I didn't want to invest $100 or more in a pair that realistically wouldn't be around for more than a year.  These are perfect for what I needed and I highly recommend them (especially if you're into electronic music like me where bass is superrrr important).","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDR-XB50AP-Extra-Earbud-Headset/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews&sortBy=helpful"
"1574171309-2366","https://www.amazon.com/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Randy A. Smith","Outstanding Earbuds at a reasonable price!","December 2, 2015","I bought these first at Best Buy, then a 2nd pair on Amazon at a much better price. I have a hearing loss so I need good quality sound with strong bass, and clarity at whatever volume I need.  These are outstanding at a reasonable price, which is all you could ask for. On my smart phone, the mic and sound are very clear for calls, and they seem to be very well made.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDR-XB50AP-Extra-Earbud-Headset/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_paging_btm_32?ie=UTF8&pageNumber=32&reviewerType=all_reviews&sortBy=helpful"
"1574171294-2301","https://www.amazon.com/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Taryn Johnson","They're nice especially for the price","November 5, 2019","Work great even for gaming","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDR-XB50AP-Extra-Earbud-Headset/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews&sortBy=helpful"
"1574171358-2592","https://www.amazon.com/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","BVP","Three Stars","February 6, 2015","Good enough, but I expected them to sound more much better, for me they sound as any other headset.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDR-XB50AP-Extra-Earbud-Headset/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_paging_btm_55?ie=UTF8&pageNumber=55&reviewerType=all_reviews&sortBy=helpful"
"1574171300-2323","https://www.amazon.com/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","NV Fisherman","Really fine headset","July 31, 2018","Very good sound and solid construction.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDR-XB50AP-Extra-Earbud-Headset/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&pageNumber=28&reviewerType=all_reviews&sortBy=helpful"
"1574171290-2279","https://www.amazon.com/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Es Bee","Five Stars","September 1, 2018","Looks better in person than the picture, and works exactly as I remembered. Loving this headset.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDR-XB50AP-Extra-Earbud-Headset/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews&sortBy=helpful"
"1574171407-2815","https://www.amazon.com/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Susie M","Great product","May 16, 2017","Very nice,  my son uses them often","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDR-XB50AP-Extra-Earbud-Headset/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_paging_btm_77?ie=UTF8&pageNumber=77&reviewerType=all_reviews&sortBy=helpful"
"1574171389-2740","https://www.amazon.com/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Unclearkiller","long lasting","September 9, 2016","It's been over a year and I still don't need to replace them","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDR-XB50AP-Extra-Earbud-Headset/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_paging_btm_69?ie=UTF8&pageNumber=69&reviewerType=all_reviews&sortBy=helpful"
"1574171267-2172","https://www.amazon.com/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","M&amp;M","Best in ear headphones I've ever had","June 23, 2019","This isn't suitable for all genres of music or other kinds of audio listening. It can blow your ear drums if the volume is set to max and you play a shooting game. Heavy on the base and very powerful. Most of the time, half way volume on my phone is good enough.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-MDR-XB50AP-Extra-Earbud-Headset/product-reviews/B00JE0AQPG/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews&sortBy=helpful"
