web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574952776-3037","https://www.amazon.com/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Will","Not Apple","October 13, 2018","These are NOT apple brand, don't come in apple packaging and look used.  They are going straight back so don't waist your time with these and just order directly from Apple","1.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews&sortBy=helpful"
"1574952756-2941","https://www.amazon.com/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Eileen","Did not work at all","January 22, 2019","The packaging seems exactly like how it is when bought from the Apple store but it does not function. I plug it in to my phone and play music and videos the audio still comes out of the phone speaker, it’s like the phone do not detect the EarPods when plugged in. Which never happened before.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews&sortBy=helpful"
"1574952780-3060","https://www.amazon.com/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Alexis L.","DON’T BUY","May 12, 2019","After 2 weeks of having the earphones the right side of them was significantly lower in sound. I called to replace the headphones and never heard back from amazon or Apple. Two days after my call to amazon both sides of the earphones went out. Since it’s after the return period, I just lost $25 and have a broken pair of headphones that don’t work at all. Not worth saving the $5 or whatever, just go to the Apple store.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews&sortBy=helpful"
"1574952735-2843","https://www.amazon.com/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Amazon Customer","Stopped working within a week of arriving","May 21, 2019","This is my second pair of these. The first pair worked great until my cat ate the cord. Since they worked so well, I bought a second pair.  They stopped working within a week of getting them. I can count on one hand the number of times I was able to use these headphones. I am sorely disappointed this time.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews&sortBy=helpful"
"1574952765-2985","https://www.amazon.com/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Lidiya","A bit glitchy","August 31, 2019","They work fine BUT they will stop playing music and you have to unplug them and plug them back in and they will work fine again. I honestly forget what triggers it but working out with them is frustrating at times. I think it’s when you hit pause. I don’t think they’re real apple headphones.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews&sortBy=helpful"
"1574952728-2819","https://www.amazon.com/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Zach A","Counterfeit","November 14, 2018","These are most definitely counterfeit. I bought these to have a back up to the ones that came with my iPhone and they are not the same in comparison as far as sound or build quality. I’ve only ever used apple ear buds since the first iPod I had because they stay in my ears, and because the sound quality is decent. I know apple earbuds. As soon as I plugged these in and fired up Spotify I could tell they were not the same. Tinny, echoey, no base resonance, and they scratch when you touch the controls. Spend the extra few bucks and buy directly from Apple. Looking through more of the reviews it is now apparent most are fake.","1.0 out of 5 stars","",""
"1574952728-2813","https://www.amazon.com/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","LegoGirl","Important: Prime-Exclusive Amazon listing is the real thing","January 29, 2017","After losing my iPhone7 EarPods, I bought these replacements---crossing my fingers that these would be legit Apple products (my order was ""Sold by Amazon"" new as a Prime Exclusive). I miraculously found my original EarPods so when these arrived I compared them directly to see whether they matched up. The ones Amazon sent me are just like the ones I got with my phone, and the packaging is just like all my other classic Apple stuff: everything sealed, meticulously held in place, documentation, etc.

Photos below show all the box details and the packaged EarPods. The only thing that seemed slightly different was the thickness of the main cord---these are a tiny bit thinner it feels like (but I got my IPhone7 some time ago so these might be the ""current"" version). As for sound, I can't tell any difference between my original EarPods and these replacements.  My one star off is because the shape of the actual earpiece is not my favorite. That's just preference---or ear size, maybe?

UPDATE: looks like Amazon isn't always offering these as Prime-Exclusive, or at all. I would never go for these if listed by others, new or used. Head to the Apple Store otherwise!","4.0 out of 5 stars","",""
"1574952748-2904","https://www.amazon.com/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Nana2","They’re nice.","May 9, 2019","Ok yes I bought it for my grand daughter. As I’m doing all these reviews I’m quietly thinking to myself, you’re a great Nana! But in all seriousness, I replaced this is the second pair I’ve bought, these are a replacement pair I bought for my grand daughter because she lost the first ones. They’re nice and you’ll be happy with them.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews&sortBy=helpful"
"1574952780-3058","https://www.amazon.com/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","LS","These work well","September 9, 2019","Hard to keep in my ears as have small ears but good sound and good for phone calls. Don’t have to scream to be heard.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews&sortBy=helpful"
"1574952730-2830","https://www.amazon.com/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","immasb","They’re authentic","December 5, 2018","After reading the reviews I was TERRIFIED of buying these on amazon, but I took the risk and went through with it anyway because I was too lazy to walk to Apple - and I couldn’t be happier about it. The headphones were both sold and fulfilled by Amazon, and they’re the real deal + work perfectly.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/product-reviews/B01M0GB8CC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews&sortBy=helpful"
